"id","nombre","keywords","horario","preciosimbolo","calificacion","top1","top2","link","comida","servicio","calidad","ambiente","detalles_precios","detalles_tipo_comida","detalles_comida","detalles_dietas","detalles_caracteristicas","direccion","mail","telefono","calle","pais","localidad","direccionextra","longitude","latitude","n_opiniones","opiniones_excelente","opiniones_muy_bueno","opiniones_regular","opiniones_pesimo","opiniones_malo"
119,"CANEK59","cerveza","Ver todos los horarios","$$ - $$$","5"," **N.º 13** de 83 Mexicana en Campeche","Certificado de ExcelenciaGanador en 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g1632078-d10746100-Reviews-Restaurante_Bar_Canek-Campeche_Yucatan_Peninsula.html","45","50","45","0","$50 - $150","Mexicana, Latina, Bar, Contemporánea, Fusión, Café, Española, Pub","-","Apto para vegetarianos, Opciones veganas","-","Calle 59 entre 12 y 14 #40 Centro Historico, Campeche 24000 México","restaurantecanek59@gmail.com","+52 981 816 4008","Calle 59","México","Campeche 24000,","entre 12 y 14 #40 Centro Historico","-90.53669","19.842525",50,29,3,0,0,1
120,"Meyer's Autentica Salchichoneria Alemana","cerveza","","$$ - $$$","4.5","**N.º 2** de 5 Alemana en Mérida","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150811-d3172568-Reviews-Meyer_s_Autentica_Salchichoneria_Alemana-Merida_Yucatan_Peninsula.html","50","45","45","45","-","Alemana","Almuerzo, Abierto hasta tarde","-","Comida para llevar, Acceso para silla de ruedas, Servicio de mesa","Calle 18-a 13 Col. Itzimna, Mérida 97100 México","","+52 999 926 0117","Calle 18-a 13","México","Mérida 97100,","Col. Itzimna","-89.630623","21.016665",32,20,8,1,1,1
121,"Kolobok Universidad","cerveza","11:00 - 21:00","$$ - $$$","4.5"," **N.º 11** de 141 Europea en Ciudad de México","Certificado de ExcelenciaGanador en 2016 - 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d2022162-Reviews-Kolobok_Universidad-Mexico_City_Central_Mexico_and_Gulf_Coast.html","45","45","45","40","$100 - $200","Europea, Rusa","-","Apto para vegetarianos","-","Avenida Universidad # 538 Casi esquina Eje 6 Sur, Colonia Letran Valle, Ciudad
de México 03600 México","Info@Kolobok.com.mx","+52 55 5604 4091","Avenida Universidad # 538","México","Ciudad de México 03600,","Casi esquina Eje 6 Sur, Colonia Letran Valle","-99.157639","19.38139",205,120,53,18,2,3
122,"Cuates y Cuetes","cerveza","8:00 - 23:00","$$ - $$$","4"," **N.º 100** de 493 Mexicana en Puerto Vallarta","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150793-d1033005-Reviews-Cuates_y_Cuetes-Puerto_Vallarta.html","40","45","40","45","$118 - $589","Mexicana, Bar, Mariscos","-","Apto para vegetarianos, Opciones veganas","-","Calle Francisca Rodriguez Esq, Puerto Vallarta 48380 México","info@cuatesycuetes.com","+52 322 223 2724","Calle Francisca Rodriguez Esq","México","Puerto Vallarta 48380,","","-105.238754","20.600849",649,209,160,39,15,10
123,"Mariscos 8 Tostadas","cerveza","","$$ - $$$","4.5","**N.º 5** de 14 Cervecería en Puerto Vallarta","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150793-d12821203-Reviews-Mariscos_8_Tostadas-Puerto_Vallarta.html","45","40","45","0","-","Cervecería, Mariscos, Saludable","Almuerzo, Cena","-","Asiento, Sillitas altas disponibles, Servicio de mesa, Sirve alcohol","Av. Francisco Medina Ascencio Esq. Fluvial Vallarta, Puerto Vallarta 48333
México","","+52 322 224 0122","Av. Francisco Medina Ascencio","México","Puerto Vallarta 48333,","Esq. Fluvial Vallarta","-105.239532","20.64897",52,21,12,2,1,2
124,"The Roof Bar","cerveza","","$","4.5","**N.º 30** de 102 Bar en Playa del Carmen","Certificado de ExcelenciaGanador en 2017","https://www.tripadvisor.com.mx//Restaurant_Review-g150812-d1407935-Reviews-The_Roof_Bar-Playa_del_Carmen_Yucatan_Peninsula.html","45","45","45","45","$94 - $259","Bar, Pub","Abierto hasta tarde, Bebidas","-","-","Quinta Avenida entre Calle 4, Playa del Carmen 77710 México","theroofbar@hotmail.com","+52 984 803 1428","Quinta Avenida entre Calle 4","México","Playa del Carmen 77710,","","-87.073929","20.624458",110,65,6,2,1,3
125,"Cielo Cocina Fusión","cerveza","Ver todos los horarios","$$ - $$$","5"," **N.º 1** de 174 Mexicana en Morelia","Certificado de ExcelenciaGanador en 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g152771-d13083044-Reviews-Cielo_Cocina_Fusion-Morelia_Central_Mexico_and_Gulf_Coast.html","50","50","50","0","$200 - $300","Contemporánea, Fusión, Mexicana","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Blvd. García de León 700 Terraza, Morelia 58280 México","cielococinafusion@gmail.com","+52 443 427 0323","Blvd. García de León 700","México","Morelia 58280,","Terraza","-101.173119","19.69014",92,49,4,1,0,0
126,"La Costa Marinera","cerveza","11:00 - 23:00","$$ - $$$","4"," **N.º 27** de 223 Mexicana en Mazatlán","Certificado de ExcelenciaGanador en 2016 - 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g150792-d1032455-Reviews-La_Costa_Marinera-Mazatlan_Pacific_Coast.html","40","40","40","40","-","Mexicana, Latina, Mariscos","Almuerzo, Cena, Abierto hasta tarde","Apto para vegetarianos","-","La Florida, Mazatlán México","","+52 669 914 1928","La Florida","México","Mazatlán,","","-106.465836","23.260962",438,179,99,59,21,11
127,"D'Santini Pizza a La Leña","cerveza","Ver todos los horarios","$$ - $$$","4.5"," **N.º 40** de 83 Italiana en Puerto Vallarta","Certificado de ExcelenciaGanador en 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g150793-d8720961-Reviews-D_Santini_Pizza_a_La_Lena-Puerto_Vallarta.html","40","40","40","0","$236 - $589","Italiana, Bar, Pizzería","-","Apto para vegetarianos","-","Calle Popa 112 Local 2-A y 2-B, Puerto Vallarta 48335 México","santini-pizza@hotmail.com","+52 322 221 3599","Calle Popa 112","México","Puerto Vallarta 48335,","Local 2-A y 2-B","-105.249352","20.66692",121,48,21,10,2,2
128,"Villa Mar","cerveza","","$$ - $$$","4","**N.º 27** de 56 Mexicana en Isla Holbox","Certificado de ExcelenciaGanador en 2017","https://www.tripadvisor.com.mx//Restaurant_Review-g616319-d4013211-Reviews-Villa_Mar-Holbox_Island_Yucatan_Peninsula.html","40","35","40","45","-","Mexicana, Latina, Mariscos, Caribeña","Almuerzo, Cena, Brunch","-","Asientos al aire libre, Asiento, Acceso para silla de ruedas, Sirve alcohol,
Servicio de mesa, Bar completo, Frente al agua","Calle Tiburon Ballena A Block and Half From the Plaza on the Right, Isla
Holbox México","","","Calle Tiburon Ballena","México","Isla Holbox,","A Block and Half From the Plaza on the Right","-87.380325","21.524626",191,49,49,32,7,10
129,"Pistos Pits San Mateo","cerveza","10:00 - 2:00","$","5"," **N.º 30** de 64 Mexicana en Naucalpan de Juárez","-","https://www.tripadvisor.com.mx//Restaurant_Review-g499418-d15082007-Reviews-Pistos_Pits_San_Mateo-Naucalpan_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$50 - $109","Mexicana","Almuerzo, Cena","-","-","Jardines de San Mateo #159 Santa Cruz Acatlan Restaurant Pistos Pits San
Mateo, Naucalpan de Juárez 53150 México","info@pistospits.com.mx","+52 55 6010 9930","Jardines de San Mateo #159 Santa Cruz Acatlan","México","Naucalpan de Juárez 53150,","Restaurant Pistos Pits San Mateo","-99.242081","19.487591",6,5,1,0,0,0
130,"La Cervecería del Barrio Universidad","cerveza","","-","3","**N.º 320** de 366 Mariscos en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d10451180-Reviews-La_Cerveceria_del_Barrio_Universidad-Mexico_City_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","-","Mariscos","-","-","Servicio de mesa, Reservaciones, Asiento","Avenida Universidad 645, Ciudad de México 03100 México","","56047323","Avenida Universidad 645","México","Ciudad de México 03100,","","-99.160889","19.37714",21,2,5,10,1,3
131,"Sanborns de los Azulejos","cerveza","7:00 - 1:00","$$ - $$$","4"," **N.º 93** de 2,114 Mexicana en Ciudad de México","Certificado de ExcelenciaGanador en 2017, 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d801570-Reviews-Sanborns_de_los_Azulejos-Mexico_City_Central_Mexico_and_Gulf_Coast.html","35","40","35","40","-","Mexicana, Internacional","Desayuno, Almuerzo, Cena, Brunch, Abierto hasta tarde","Apto para vegetarianos, Opciones veganas","-","Av. Madero 4, Centro Historico, Ciudad de Mexico, Ciudad de México 06500
México","","55121331","Av. Madero 4, Centro Historico, Ciudad de Mexico","México","Ciudad de México 06500,","","-99.140312","19.434275",3669,1079,1097,641,147,104
132,"Parilla Urbana","cerveza","Ver todos los horarios","$$ - $$$","5"," **N.º 57** de 2,114 Mexicana en Ciudad de México","Certificado de ExcelenciaGanador en 2018 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d10296195-Reviews-Parilla_Urbana_Felix_Cuevas-Mexico_City_Central_Mexico_and_Gulf_Coast.html","50","50","50","0","-","Mexicana","Cena, Abierto hasta tarde, Bebidas","-","Entrega a domicilio, Comida para llevar, Reservaciones, Asiento, Acceso para
silla de ruedas, Sirve alcohol, Bar completo, Wi-Fi gratis, Servicio de mesa,
Estacionamiento para clientes","Félix Cuevas 905, Benito Juárez, Colonia Del Valle Centro Col. Del Valle,
Ciudad de México 03200 México","contacto@sggroup.com.mx","+52 55 5543 8299","Félix Cuevas 905, Benito Juárez, Colonia Del Valle Centro","México","Ciudad de México 03200,","Col. Del Valle","-99.166267","19.370831",127,106,14,4,0,2
133,"El Granero Grill & Drinks","cerveza","8:00 - 4:00","$","4.5"," **N.º 6** de 483 Mexicana en Cancún","Certificado de ExcelenciaGanador en 2017 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150807-d9587056-Reviews-El_Granero_Grill_Drinks-Cancun_Yucatan_Peninsula.html","45","45","40","0","$5 - $50","Mexicana, Bar","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Blvd Kukulcan Km 9.5 Zona Hotelera, Cancún 77500 México","","+52 998 133 8821","Blvd Kukulcan Km 9.5","México","Cancún 77500,","Zona Hotelera","-86.748161","21.133337",689,246,18,5,0,4
134,"Pizzeria Balboa","cerveza","","$$ - $$$","4","**N.º 21** de 425 Italiana en Ciudad de México","Certificado de ExcelenciaGanador en 2017 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d9778597-Reviews-Pizzeria_Balboa-Mexico_City_Central_Mexico_and_Gulf_Coast.html","45","40","40","0","-","Italiana, Pizzería","Cena, Brunch, Almuerzo","Apto para vegetarianos, Opciones veganas","-","Calle Rio Lerma 94 Esquina Rio Sena, Ciudad de México 06500 México","","+52 55 5207 3476","Calle Rio Lerma 94","México","Ciudad de México 06500,","Esquina Rio Sena","-99.165878","19.429802",104,39,21,12,3,1
135,"La Fundacion Mezcaleria","cerveza","Ver todos los horarios","$","4"," **N.º 85** de 336 Mexicana en Mérida","Certificado de ExcelenciaGanador en 2016 - 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g150811-d3973830-Reviews-La_Fundacion_Mezcaleria-Merida_Yucatan_Peninsula.html","35","40","40","45","-","Mexicana, Latina, Bar","Abierto hasta tarde, Bebidas","-","Asiento, Sirve alcohol, Música en vivo","Calle 56 No.465 x 53 y 55 Centro Historico, Mérida México","","","Calle 56 No.465 x 53 y 55","México","Mérida,","Centro Historico","-89.619881","20.97164",135,48,35,9,5,13
136,"Los Aguachiles Cancún","cerveza","Ver todos los horarios","$$ - $$$","4"," **N.º 90** de 483 Mexicana en Cancún","Certificado de ExcelenciaGanador en 2016 - 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g150807-d3188818-Reviews-Los_Aguachiles_Cancun-Cancun_Yucatan_Peninsula.html","40","40","40","40","-","Cervecería, Bar, Mexicana, Caribeña, Mariscos","Almuerzo, Cena, Brunch","-","Comida para llevar, Asiento, Sillitas altas disponibles, Acceso para silla de
ruedas, Sirve alcohol, Servicio de mesa, Servicio de valet, Televisión","Avenida Nizuc Esq Av. Nichupté, Cancún 77500 México","","+52 998 884 0152","Avenida Nizuc","México","Cancún 77500,","Esq Av. Nichupté","-86.83223","21.141577",227,98,61,30,8,7
137,"Cubaro","cerveza","Ver todos los horarios","$$ - $$$","4"," **N.º 77** de 336 Mexicana en Mérida","Certificado de ExcelenciaGanador en 2016 - 2017","https://www.tripadvisor.com.mx//Restaurant_Review-g150811-d2646907-Reviews-Cubaro-Merida_Yucatan_Peninsula.html","40","40","35","45","-","Mexicana, Latina, Bar, Internacional","Almuerzo, Cena, Abierto hasta tarde, Bebidas","-","Reservaciones, Asientos al aire libre, Asiento, Servicio de valet, Sirve
alcohol, Bar completo, Servicio de mesa, Wi-Fi gratis","Avenida Paseo de Montejo, Mérida México","","+52 999 926 0304","Avenida Paseo de Montejo","México","Mérida,","","-89.617119","20.989252",183,62,46,24,8,9
138,"Il Golfo di Napoli","cerveza","9:00 - 23:45","$$ - $$$","4.5"," **N.º 30** de 122 Italiana en Cancún","Certificado de ExcelenciaGanador en 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150807-d13003494-Reviews-Il_Golfo_di_Napoli-Cancun_Yucatan_Peninsula.html","50","50","45","0","$180 - $1,450","Italiana, Pizzería, Cervecería, Parrilla","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Blvd. Kukulcan KM 9.5 Zona Hotelera, Forum by the Sea, Level 2, Cancún 77500
México","ilgolfo17@gmail.com","+52 55 5502 1073","Blvd. Kukulcan KM 9.5","México","Cancún 77500,","Zona Hotelera, Forum by the Sea, Level 2","-86.747314","21.13232",121,34,7,2,1,1
139,"Tacos Don Felix En la casa","cerveza","Ver todos los horarios","$$ - $$$","4.5"," **N.º 17** de 215 Mexicana en San Miguel de Allende","Certificado de ExcelenciaGanador en 2016 - 2017, 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g151932-d1997826-Reviews-Tacos_Don_Felix-San_Miguel_de_Allende_Central_Mexico_and_Gulf_Coast.html","45","45","45","50","-","Mexicana, Latina","Cena, Abierto hasta tarde, Bebidas","Apto para vegetarianos, Opciones veganas","-","15th Fray Juan de San Miguel Saint San Rafael, San Miguel de Allende 37730
México","conferdie@yahoo.com","+52 415 152 5719","15th Fray Juan de San Miguel","México","San Miguel de Allende 37730,","Saint San Rafael","-100.752174","20.921507",261,147,40,11,5,5
140,"Pinche Birra","cerveza","12:00 - 2:00","$","4.5"," **N.º 22** de 30 Cervecería en Playa del Carmen","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150812-d15275824-Reviews-Pinche_Birra-Playa_del_Carmen_Yucatan_Peninsula.html","0","0","0","0","-","Cervecería, Pub","Almuerzo, Cena, Abierto hasta tarde, Bebidas","-","Sirve alcohol, Acepta tarjetas de crédito","10 Avenida Nte. 173, Playa del Carmen 77710 México","","+52 984 234 3620","10 Avenida Nte. 173","México","Playa del Carmen 77710,","","-87.073845","20.626385",9,6,0,0,0,1
141,"Cervecería Artesanal San Pancho","cerveza","Ver todos los horarios","$","5"," **N.º 1** de 1 Cervecería en San Pancho","-","https://www.tripadvisor.com.mx//Restaurant_Review-g552077-d13396655-Reviews-Cerveceria_Artesanal_San_Pancho-San_Francisco_Pacific_Coast.html","50","50","45","0","$70 - $200","Cervecería, Europea, Pub, Fusión, Gastropub","Cena, Bebidas","-","-","Calle América Latina y Calle Egipto Near corner of Calle America Latina and
Calle Egipto, San Pancho 63732 México","cerveceriaartesanalsanpancho@gmail.com","+52 322 135 0062","Calle América Latina y Calle Egipto","México","San Pancho 63732,","Near corner of Calle America Latina and Calle Egipto","-105.412575","20.901394",30,17,2,0,1,0
142,"El Parqueadero","cerveza","Ver todos los horarios","$$ - $$$","4.5"," **N.º 33** de 37 Mexicana en Ciudad Valles","-","https://www.tripadvisor.com.mx//Restaurant_Review-g499409-d11797788-Reviews-El_Parqueadero-Ciudad_Valles_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$100 - $500","Mexicana, Comida rápida, Contemporánea, Pub, Gastropub, Parrillada","Abierto hasta tarde, Bebidas, Almuerzo, Cena","-","-","Boulevard Mexico - Laredo 40 B, Ciudad Valles 79050 México","contacto@elpaqueadero.mx","+52 481 382 1170","Boulevard Mexico - Laredo 40 B","México","Ciudad Valles 79050,","","-99.011841","21.984705",10,4,5,1,0,0
143,"La Choperia De Cd Juarez","cerveza","","$$ - $$$","4.5","**N.º 21** de 97 Mexicana en Ciudad Juárez","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150780-d10792918-Reviews-La_Choperia_De_Cd_Juarez-Ciudad_Juarez_Northern_Mexico.html","0","0","0","0","-","Mexicana","Brunch, Desayuno, Almuerzo, Cena","-","Asiento, Acceso para silla de ruedas, Servicio de mesa","Ave. Lincoln 971, Ciudad Juárez México","","6110142","Ave. Lincoln 971","México","Ciudad Juárez,","","-106.454124","31.744593",18,9,5,4,0,0
144,"A Go Go","cerveza","","$$ - $$$","4.5","**N.º 142** de 365 Mexicana en Puebla","-","https://www.tripadvisor.com.mx//Restaurant_Review-g152773-d8487823-Reviews-A_Go_Go-Puebla_Central_Mexico_and_Gulf_Coast.html","40","45","40","0","$30 - $120","Mexicana, Bar, Pub","Almuerzo","-","-","Avenida 3 Oriente 207, Puebla 72000 México","","+52 222 232 2396","Avenida 3 Oriente 207","México","Puebla 72000,","","-98.142258","19.036497",12,3,9,0,0,0
145,"Capital Ribs","cerveza","Ver todos los horarios","$$ - $$$","4.5"," **N.º 1** de 4 Mexicana en Fresnillo","-","https://www.tripadvisor.com.mx//Restaurant_Review-g3181080-d7716767-Reviews-Capital_Ribs-Fresnillo_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","-","Mexicana, Cervecería, Bar, Pub, Estadounidense, Parrillada","Cena, Almuerzo, Brunch","-","Comida para llevar, Asientos al aire libre, Estacionamiento en la calle,
Televisión, Vino y cerveza, Wi-Fi gratis, Acepta tarjetas de crédito,
Reservaciones, Asiento, Servicio de mesa","20 de Noviembre Esquina Boulevard Hombres Ilustres 382-b, Fresnillo 99000
México","capitalribs@gmail.com","+52 493 983 7665","20 de Noviembre Esquina Boulevard Hombres Ilustres","México","Fresnillo 99000,","382-b","-102.869942","23.182331",13,8,3,2,0,0
146,"La Central de Xalapa","cerveza","","$$ - $$$","4.5","**N.º 14** de 29 Italiana en Xalapa","-","https://www.tripadvisor.com.mx//Restaurant_Review-g154235-d8521890-Reviews-La_Central_de_Xalapa-Xalapa_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$94 - $707","Italiana, Bar, Café, Gastropub","-","-","Reservaciones","Jesus Garcia #1 Altos Esquina Alfaro, abajo de la plazuela Manuel Maples Arce,
Xalapa 91000 México","yacovox@hotmail.com","+52 228 812 4006","Jesus Garcia #1 Altos","México","Xalapa 91000,","Esquina Alfaro, abajo de la plazuela Manuel Maples Arce","-96.920525","19.529226",10,5,3,2,0,0
147,"Amargo Cerveceria","cerveza","Ver todos los horarios","$","5"," **N.º 34** de 35 Cervecería en Guadalajara","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150798-d17288267-Reviews-Amargo_Cerveceria-Guadalajara_Guadalajara_Metropolitan_Area.html","0","0","0","0","$50 - $80","Cervecería, Bar, Pub, Gastropub","Cena, Abierto hasta tarde, Bebidas","-","-","Prisciliano Sánchez 807, Guadalajara 44160 México","","+52 33 1075 0570","Prisciliano Sánchez 807","México","Guadalajara 44160,","","-103.357849","20.67267",2,2,0,0,0,0
148,"Tresvanbien Uh May","cerveza","","$$ - $$$","5","**N.º 1** de 1 Francesa en Francisco Uh May","-","https://www.tripadvisor.com.mx//Restaurant_Review-g16871694-d17705362-Reviews-Tresvanbien_Uh_May-Francisco_Uh_May_Tulum_Yucatan_Peninsula.html","0","0","0","0","$47 - $236","Argentina, Francesa, Internacional, Chilena, Sudamericana","-","-","Reservaciones","Camino Blanco km 2 al lado de Azulik Sfer ix Museion, Francisco Uh May, Tulum
77796 México","tresvanbien@gmail.com","+52 984 114 9966","Camino Blanco km 2","México","Francisco Uh May, Tulum 77796,","al lado de Azulik Sfer ix Museion","-87.600922","20.348608",11,9,0,0,0,0
149,"Roulotte Tortería & Cervecería","cerveza","10:00 - 22:30","$","4.5"," **N.º 66** de 365 Mexicana en Puebla","-","https://www.tripadvisor.com.mx//Restaurant_Review-g152773-d3513172-Reviews-Roulotte_Torteria_Cerveceria-Puebla_Central_Mexico_and_Gulf_Coast.html","45","40","45","0","-","Mexicana, Café","Almuerzo, Cena, Brunch","-","Comida para llevar, Reservaciones, Televisión, Sillitas altas disponibles,
Sirve alcohol, Vino y cerveza, Acepta Mastercard, Acepta Visa, Wi-Fi gratis,
Asiento, Acepta tarjetas de crédito","Avenida 5 de Mayo Number 2 Calle 5 de Mayo esquina Av. Reforma, Puebla 72810
México","roulottetortas@gmail.com","+52 222 602 9374","Avenida 5 de Mayo Number 2","México","Puebla 72810,","Calle 5 de Mayo esquina Av. Reforma","-98.299614","19.050987",24,18,5,1,0,0
150,"La Playita","cerveza","9:00 - 0:00","$$ - $$$","4.5"," **N.º 9** de 72 Mexicana en Bacalar","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g1202648-d4057720-Reviews-La_Playita-Bacalar_Yucatan_Peninsula.html","45","40","40","50","-","-","-","-","-","Avenida 1 26 Two Blocks North From Bacalar's Fort, Bacalar 77930 México","contacto@laplayitabacalar.com","+52 983 834 3068","Avenida 1 26","México","Bacalar 77930,","Two Blocks North From Bacalar's Fort","-88.387039","18.679537",2742,1219,438,121,39,51
151,"La Buena Vida","cerveza","8:00 - 22:00","$$ - $$$","4.5"," **N.º 5** de 18 Mexicana en Akumal","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g499445-d1051323-Reviews-La_Buena_Vida-Akumal_Yucatan_Peninsula.html","40","40","40","50","$141 - $565","Mexicana, Estadounidense, Bar, Mariscos, Centroamericana","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Beach Road Lote 35, Akumal 77710 México","info@labuenavidarestaurant.com","+52 984 875 9061","Beach Road","México","Akumal 77710,","Lote 35","-87.309288","20.404297",4010,1641,756,190,63,89
152,"Fisher's Ixtapa","cerveza","10:00 - 22:00","$$ - $$$","3.5"," **N.º 17** de 44 Mariscos en Ixtapa/Zihuatanejo","Certificado de ExcelenciaGanador en 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g153445-d1674816-Reviews-Fisher_s_Ixtapa-Ixtapa_Zihuatanejo_de_Azueta_Pacific_Coast.html","40","35","35","40","$250 - $450","Mariscos","-","Opciones sin gluten","-","Veleros Lote 5 L-3, Muelle M. José Azueta Veleros Lote 5 L-3 , Muelle M. Col.
Marina, Ixtapa/Zihuatanejo, Zihuatanejo de Azueta 40880 México","fishersmedia@fishers.com.mx","+52 755 553 3270","Veleros Lote 5 L-3, Muelle M. José Azueta","México","Ixtapa/Zihuatanejo, Zihuatanejo de Azueta 40880,","Veleros Lote 5 L-3 , Muelle M. Col. Marina","-101.616524","17.665215",134,36,29,16,13,13
153,"WTF Burger Bar","cerveza","9:00 - 22:00","$$ - $$$","4.5"," **N.º 1** de 64 Estadounidense en Cabo San Lucas","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g152515-d7397210-Reviews-WTF_Burger_Bar-Cabo_San_Lucas_Los_Cabos_Baja_California.html","45","45","45","45","$236 - $589","Estadounidense, Bar","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Lázaro Cárdenas, Plaza Puerto Paraíso Local 40, Cabo San Lucas México","jimmy@cheflive.com","+52 612 176 6740","Lázaro Cárdenas, Plaza Puerto Paraíso Local 40","México","Cabo San Lucas,","","-109.909592","22.886271",1145,191,67,23,8,4
154,"Tibiri Tabla","cerveza","","$","5","**N.º 39** de 68 Mexicana en Mexicali","-","https://www.tripadvisor.com.mx//Restaurant_Review-g154247-d13002154-Reviews-Tibiri_Tabla-Mexicali_Baja_California.html","0","0","0","0","$64 - $74","Mexicana, Estadounidense, Alemana","-","-","-","Avenida Ciudad Cuauhtemoc # 51 Colonia Cuauhtémoc Sur, Mexicali 21307 México","tibiritabla@gmail.com","+52 686 488 5822","Avenida Ciudad Cuauhtemoc # 51","México","Mexicali 21307,","Colonia Cuauhtémoc Sur","-115.451103","32.65773",3,3,0,0,0,0
155,"Paulaner Keller Condesa","cerveza","11:30 - 23:00","$","5"," **N.º 9** de 20 Alemana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d12362363-Reviews-Paulaner_Keller_Condesa-Mexico_City_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$150 - $300","Alemana, Bar, Europea, Pub","Almuerzo, Cena","-","-","Avenida Michoacan 3 Esquina Insurgentes Sur, Ciudad de México 06140 México","karol@paulaner.com.mx","+52 55 5264 2169","Avenida Michoacan 3","México","Ciudad de México 06140,","Esquina Insurgentes Sur","-99.167412","19.410694",2,2,0,0,0,0
156,"La Berenjena","cerveza","","$$ - $$$","4.5","**N.º 6** de 68 Italiana en Puebla","Certificado de ExcelenciaGanador en 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g152773-d12244681-Reviews-La_Berenjena-Puebla_Central_Mexico_and_Gulf_Coast.html","45","45","45","0","-","Italiana, Pizzería","Cena, Almuerzo","Apto para vegetarianos, Opciones veganas","-","3 Oriente 407 Colonia Centro, Puebla México","","6884754","3 Oriente 407 Colonia Centro","México","Puebla,","","-98.195274","19.041677",67,31,11,3,2,1
157,"Minou","cerveza","9:00 - 23:00","$","5"," **N.º 41** de 43 Mexicana en San Andrés Cholula","-","https://www.tripadvisor.com.mx//Restaurant_Review-g11804695-d12230828-Reviews-Minou-San_Andres_Cholula_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$60 - $500","Belga, Europea, Mexicana, Cervecería, Pub, Fusión","Desayuno, Almuerzo, Cena, Brunch, Abierto hasta tarde, Bebidas","-","-","14 Oriente 605A atras de la UDLAP, San Andrés Cholula 72810 México","restominou@gmail.com","+52 222 261 5977","14 Oriente 605A","México","San Andrés Cholula 72810,","atras de la UDLAP","-98.290657","19.05695",5,4,0,0,0,0
158,"Cucapa Brewing Co.","cerveza","","$$ - $$$","4.5","**N.º 273** de 433 Mexicana en Guadalajara","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150798-d14984304-Reviews-Cucapa_Brewing_Co-Guadalajara_Guadalajara_Metropolitan_Area.html","0","0","0","0","$60 - $180","Mexicana","-","-","-","Av. Terranova 1182, Guadalajara 44647 México","","","Av. Terranova 1182","México","Guadalajara 44647,","","-103.386131","20.694447",3,1,2,0,0,0
159,"The Money Bar Beach Club","cerveza","7:00 - 21:00","$$ - $$$","4.5"," **N.º 49** de 225 Mexicana en Cozumel","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150809-d3800656-Reviews-The_Money_Bar_Beach_Club-Cozumel_Yucatan_Peninsula.html","40","40","40","45","$1,720 - $27,088","Mexicana, Bar, Mariscos","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Carretera Costera Zona Hotelera Sur Km 6,5, Cozumel 77600 México","","+52 987 119 8424","Carretera Costera","México","Cozumel 77600,","Zona Hotelera Sur Km 6,5","-86.986267","20.457767",787,296,195,45,14,13
