"id","nombre","keywords","horario","calificacion","top1","top2","link","comida","servicio","calidad","ambiente","detalles_precios","detalles_tipo_comida","detalles_comida","detalles_dietas","detalles_caracteristicas","direccion","mail","telefono","calle","pais","localidad","direccionextra","longitude","latitude","n_opiniones","opiniones_excelente","opiniones_muy_bueno","opiniones_regular","opiniones_pesimo","opiniones_malo"
230,"NONSOLO Centro Histórico","cerveza","","4","**N.º 42** de 425 Italiana en Ciudad de México","Certificado de ExcelenciaGanador en 2016 - 2017","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d6963360-Reviews-NONSOLO_Centro_Historico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","45","40","40","-","Italiana, Mediterránea","Almuerzo, Cena","Apto para vegetarianos","-","Calle 16 de Septiembre y Madero Peatonal Motolinia 37 Colonia Centro
Historico, Ciudad de México 06000 México","","+(52)55120619","Calle 16 de Septiembre y Madero Peatonal Motolinia 37","México","Ciudad de México 06000,","Colonia Centro Historico","-99.137611","19.432421",70,21,25,8,4,1
231,"Pasaguero","cerveza","","3.5","**N.º 909** de 2,111 Mexicana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d8633952-Reviews-Pasaguero-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","35","40","0","-","Mexicana, Latina, Bar, Española, Pub","-","-","Asiento, Reservaciones, Sirve alcohol, Servicio de mesa","Motolinia 33 Colonia Centro Historico, Ciudad de México 06010 México","promociones@pasaguero.com.mx","55216112","Motolinia 33","México","Ciudad de México 06010,","Colonia Centro Historico","-99.137543","19.432959",34,10,12,5,1,4
232,"Playa Lancheros","cerveza","Ver todos los horarios","4"," **N.º 44** de 132 Mexicana en Isla Mujeres","Certificado de ExcelenciaGanador en 2018 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150810-d1214227-Reviews-Playa_Lancheros-Isla_Mujeres_Yucatan_Peninsula.html","45","40","40","45","-","Mariscos, Mexicana, Caribeña","Brunch, Almuerzo, Bebidas","Opciones sin gluten","-","South End Bahia Carretera a Garrafón km. 4.6 Playa Lancheros, Isla Mujeres
77400 México","recepciontikinxic@gmail.com","+52 998 274 3733","South End Bahia","México","Isla Mujeres 77400,","Carretera a Garrafón km. 4.6 Playa Lancheros","-86.728394","21.217794",441,148,75,35,13,16
233,"Sliders Polanco","cerveza","Ver todos los horarios","4"," **N.º 10** de 231 Estadounidense en Ciudad de México","Certificado de ExcelenciaGanador en 2018 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d8749544-Reviews-Sliders_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","40","40","0","$3,508 - $11,695","Estadounidense, Bar","Almuerzo, Cena, Abierto hasta tarde","-","-","Virgilio 25, Polanquito, Miguel Hidalgo, CDMX The Iron Place, Ciudad de México
11540 México","atencionaclientes@sliders.mx","+52 55 5281 5380","Virgilio 25, Polanquito, Miguel Hidalgo, CDMX","México","Ciudad de México 11540,","The Iron Place","-99.196686","19.430593",105,34,35,11,4,3
234,"La Docena Oyster Bar & Grill","cerveza","","3.5","**N.º 203** de 2,111 Mexicana en Ciudad de México","Certificado de ExcelenciaGanador en 2017","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d8686717-Reviews-La_Docena_Oyster_Bar_Grill-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","35","35","0","$15 - $795","Mexicana, Mariscos","Almuerzo, Cena","-","-","Calle Alvaro Obregon 31 Esquina Frontera, Colonia Roma, Ciudad de México 01290
México","","+52 1 55 5208 0833","Calle Alvaro Obregon 31","México","Ciudad de México 01290,","Esquina Frontera, Colonia Roma","-99.155952","19.419256",560,177,117,56,27,61
235,"Hooters","cerveza","","3.5","**N.º 34** de 231 Estadounidense en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d1382796-Reviews-Hooters-Mexico_City_Central_Mexico_and_Gulf_Coast.html","35","40","35","40","$234 - $351","Estadounidense","Almuerzo, Cena, Abierto hasta tarde","-","-","Avenida Insurgentes sur 826 Colonia Del Valle, Ciudad de México 03100 México","","5543-2107","Avenida Insurgentes sur 826","México","Ciudad de México 03100,","Colonia Del Valle","-99.186455","19.349966",139,24,50,30,11,9
236,"Angeles y Diablitos","cerveza","Ver todos los horarios","4.5"," **N.º 1** de 3 Cervecería en Isla Holbox","Certificado de ExcelenciaGanador en 2017, 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g616319-d7244220-Reviews-Angeles_y_Diablitos-Holbox_Island_Yucatan_Peninsula.html","45","45","45","0","-","Café, Cervecería, Saludable","Desayuno, Brunch, Bebidas","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Calle Porfirio Díaz 3760, Isla Holbox 77310 México","","+52 984 145 6862","Calle Porfirio Díaz 3760","México","Isla Holbox 77310,","","-87.37912","21.52235",131,51,16,1,2,5
237,"Origen","cerveza","Ver todos los horarios","4.5"," **N.º 11** de 283 Mexicana en Oaxaca","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150801-d2413056-Reviews-Origen-Oaxaca_Southern_Mexico.html","45","45","40","45","-","Mexicana, Latina","Almuerzo, Cena, Abierto hasta tarde","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Hidalgo 820, Oaxaca 68000 México","origenoaxaca@gmail.com","+52 951 501 1764","Hidalgo 820","México","Oaxaca 68000,","","-96.724121","17.060806",603,282,101,41,13,7
238,"Azul Marino","cerveza","Ver todos los horarios","4.5"," **N.º 3** de 51 Mariscos en La Paz","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150771-d1548116-Reviews-Azul_Marino-La_Paz_Baja_California.html","45","45","45","45","-","Mariscos, Mediterránea, Internacional","Almuerzo, Cena, Abierto hasta tarde","Opciones veganas, Apto para vegetarianos, Opciones sin gluten","-","Carrer a Pichilingue Local 40-42, La Paz 23040 México","contacto@azulmarinorestaurante.com","+52 612 106 7009","Carrer a Pichilingue","México","La Paz 23040,","Local 40-42","-110.2985","24.214872",377,178,62,22,2,6
239,"El Chapulim","cerveza","","4.5","**N.º 12** de 56 Mexicana en Isla Holbox","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g616319-d3222592-Reviews-El_Chapulim-Holbox_Island_Yucatan_Peninsula.html","45","45","40","45","-","Mexicana, Caribeña, Mariscos","Cena, Abierto hasta tarde","Opciones sin gluten","-","Main Street 123, Isla Holbox 77310 México","","+52 984 137 6069","Main Street 123","México","Isla Holbox 77310,","","-87.379707","21.523909",882,349,93,33,15,23
240,"Mezquite. Gastronomia y destilados","cerveza","8:00 - 0:00","4"," **N.º 21** de 283 Mexicana en Oaxaca","Certificado de ExcelenciaGanador en 2016 - 2017, 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150801-d4880793-Reviews-Mezquite_Gastronomia_y_destilados-Oaxaca_Southern_Mexico.html","45","45","40","45","-","Mexicana, Latina, Bar","Almuerzo, Cena, Brunch, Abierto hasta tarde, Bebidas","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Garcia Vigil 601-A Centro, Oaxaca 68000 México","mezquite.oaxaca@gmail.com","+52 951 514 2099","Garcia Vigil 601-A","México","Oaxaca 68000,","Centro","-96.724617","17.066988",195,77,36,13,4,7
241,"Café Bar 500 Noches Mérida","cerveza","16:00 - 2:00","4"," **N.º 5** de 14 Cervecería en Mérida","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150811-d10664840-Reviews-Cafe_Bar_500_Noches_Merida-Merida_Yucatan_Peninsula.html","40","40","40","0","-","Cervecería, Café, Bar de vinos","Cena, Abierto hasta tarde, Bebidas","-","Reservaciones, Asientos al aire libre, Asiento, Acceso para silla de ruedas,
Sirve alcohol, Bar completo, Servicio de mesa, Estacionamiento disponible,
Sillitas altas disponibles, Vino y cerveza, Wi-Fi gratis, Acepta tarjetas de
crédito, Música en vivo, Estilo familiar","Calle 60 #471, Mérida 97000 México","500meridasantalucia@gmail.com","+52 999 369 0282","Calle 60","México","Mérida 97000,","#471","-89.622635","20.97139",126,38,22,13,6,3
242,"Half Senor Frogs","cerveza","Ver todos los horarios","4.5"," **N.º 1** de 225 Mexicana en Cozumel","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150809-d2406839-Reviews-Half_Senor_Frogs-Cozumel_Yucatan_Peninsula.html","45","45","40","45","-","Mexicana, Bar, Internacional","Almuerzo, Cena, Brunch, Abierto hasta tarde, Bebidas","Apto para vegetarianos, Opciones veganas","-","International Cruise Ship Terminal, Cozumel 77600 México","info@senorfrogs.com","+52 987 857 1298","International Cruise Ship Terminal","México","Cozumel 77600,","","-86.973541","20.479696",1196,290,78,41,26,27
243,"San Teo Gastro Pub","cerveza","13:00 - 2:00","4"," **N.º 6** de 50 Bar en Santiago de Querétaro","Certificado de ExcelenciaGanador en 2016 - 2017, 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g479232-d4295345-Reviews-San_Teo_Gastro_Pub-Queretaro_City_Central_Mexico_and_Gulf_Coast.html","45","40","40","40","-","Bar, Pub","Cena, Abierto hasta tarde","Apto para vegetarianos","-","Avenida Universidad Esquina Circunvalacion, Santiago de Querétaro 76160 México","queretaro@santeo.mx","+52 442 248 1925","Avenida Universidad","México","Santiago de Querétaro 76160,","Esquina Circunvalacion","-100.380798","20.600979",128,56,51,11,2,1
244,"Papa Bill's Saloon - Rio Lerma","cerveza","13:00 - 1:00","3"," **N.º 1,084** de 2,111 Mexicana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d1978201-Reviews-Papa_Bill_s_Saloon_Rio_Lerma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","35","30","30","30","$468 - $702","Mexicana, Bar, Pub","Cena, Almuerzo, Abierto hasta tarde","-","-","Calle Rio Guadalquivir 88, Ciudad de México 06500 México","","+52 55 5207 6274","Calle Rio Guadalquivir 88","México","Ciudad de México 06500,","","-99.169731","19.428078",81,12,11,31,6,10
245,"Villamelon","cerveza","11:00 - 6:00","4"," **N.º 477** de 2,111 Mexicana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d1009972-Reviews-Villamelon-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","35","35","35","$117 - $234","Mexicana","Almuerzo","-","-","Tintoreto 123, Col. Ciudad de los Deportes, Ciudad de México México","","+52 55 1042 2352","Tintoreto 123, Col. Ciudad de los Deportes","México","Ciudad de México,","","-99.181175","19.382681",107,41,27,16,5,11
246,"Claroscuro Gastropub","cerveza","14:00 - 0:00","4"," **N.º 32** de 79 Cervecería en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d10628148-Reviews-Claroscuro_Gastropub-Mexico_City_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$16 - $500","Cervecería, Bar, Pub, Gastropub, Restaurantes cerveceros","Cena, Abierto hasta tarde, Bebidas","-","-","Avenida Calzada Camarones 155 Loc. B Esquina con Platanales, Ciudad de México
02800 México","contactocogp@gmail.com","+52 55 7032 4476","Avenida Calzada Camarones 155 Loc. B","México","Ciudad de México 02800,","Esquina con Platanales","-99.171799","19.463881",10,3,4,3,0,0
247,"Wing's Army","cerveza","13:00 - 23:59","3.5"," **N.º 3** de 17 Comida rápida en Xalapa","-","https://www.tripadvisor.com.mx//Restaurant_Review-g154235-d10065743-Reviews-Wing_s_Army-Xalapa_Central_Mexico_and_Gulf_Coast.html","40","40","45","0","$105 - $199","Comida rápida","Almuerzo, Cena","-","-","Avenida Lazaro Cardenas # 102 Loc 31-32, Xalapa 91110 México","cruben.jose@gmail.com","+52 228 815 6507","Avenida Lazaro Cardenas # 102","México","Xalapa 91110,","Loc 31-32","-96.923698","19.559593",18,3,8,5,0,1
248,"Cenzontle","cerveza","Ver todos los horarios","4.5"," **N.º 28** de 283 Mexicana en Tulum","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150813-d5936613-Reviews-Cenzontle-Tulum_Yucatan_Peninsula.html","45","45","45","50","$150 - $300","Mexicana, Latina, Mariscos, Centroamericana, Fusión","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Carretera Boca Paila km 7.3, Tulum 77780 México","eat@cenzontletulum.com","+52 984 204 8628","Carretera Boca Paila km 7.3","México","Tulum 77780,","","-87.458679","20.151331",663,299,79,27,9,1
249,"Bar Esquina Los Cabos","cerveza","8:00 - 1:00","4.5"," **N.º 18** de 106 Bar en Cabo San Lucas","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g152515-d1992990-Reviews-Bar_Esquina_Los_Cabos-Cabo_San_Lucas_Los_Cabos_Baja_California.html","45","45","40","45","-","Bar, Internacional","Bebidas, Desayuno, Almuerzo, Cena, Brunch, Abierto hasta tarde","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Av. El Pescador s/n El Medano, Cabo San Lucas 23453 México","info@bahiacabo.com","+52 624 143 1890","Av. El Pescador s/n","México","Cabo San Lucas 23453,","El Medano","-109.905861","22.888149",1378,726,261,55,17,28
250,"Peninsula Bar y Cocina Urbana","cerveza","","4","**N.º 37** de 67 Mexicana en Mexicali","-","https://www.tripadvisor.com.mx//Restaurant_Review-g154247-d11729143-Reviews-Peninsula_Bar_y_Cocina_Urbana-Mexicali_Baja_California.html","0","0","0","0","$60 - $200","Estadounidense, Mexicana","-","-","Servicio de mesa, Reservaciones, Asiento","Miguel Negrete, 2098 Col. Nueva, Mexicali 21100 México","","+52 686 554 5354","Miguel Negrete, 2098","México","Mexicali 21100,","Col. Nueva","-115.452637","32.661095",16,9,2,4,1,0
251,"Buffalo Wild Wings","cerveza","","3.5","**N.º 55** de 231 Estadounidense en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d9722470-Reviews-Buffalo_Wild_Wings-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","45","40","0","-","Estadounidense","Cena","-","Comida para llevar, Asiento, Wi-Fi gratis, Servicio de mesa, Sirve alcohol","Eje 2 Pte 402B, Piedad Narvarte, Ciudad de México 03000 México","","","","México","Ciudad de México 03000,","Eje 2 Pte 402B, Piedad Narvarte","-99.160034","19.401979",62,20,21,8,5,6
252,"Cerdo Picante","cerveza","","4","**N.º 103** de 365 Mexicana en Puebla","-","https://www.tripadvisor.com.mx//Restaurant_Review-g152773-d8384655-Reviews-Cerdo_Picante-Puebla_Central_Mexico_and_Gulf_Coast.html","35","35","40","0","-","Mexicana","Cena","-","Reservaciones, Asiento, Servicio de mesa","Juan de Palafox y Mendoza 214 Col. Centro, Puebla México","","+52 222 232 3138","Juan de Palafox y Mendoza 214","México","Puebla,","Col. Centro","-98.196091","19.043283",26,9,8,5,2,0
253,"Bajabrews Colectivo Y Jardin Cervecero","cerveza","","4","**N.º 38** de 51 Mariscos en Ensenada","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150770-d10553876-Reviews-Bajabrews_Colectivo_Y_Jardin_Cervecero-Ensenada_Ensenada_Municipality_Baja_Calif.html","0","0","0","0","-","Pub, Mariscos","-","-","-","Carretera Tijuana-Ensenada Local 1, Km 103, Ensenada, Municipio de Ensenada
22760 México","","","Carretera Tijuana-Ensenada","México","Ensenada, Municipio de Ensenada 22760,","Local 1, Km 103","-116.702873","31.898211",6,1,5,0,0,0
254,"Brother's Bar&Grill","cerveza","Ver todos los horarios","5"," **N.º 1** de 17 Bar en Cuernavaca","Certificado de ExcelenciaGanador en 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g150797-d9778498-Reviews-Brother_s_Bar_Grill-Cuernavaca_Central_Mexico_and_Gulf_Coast.html","40","40","40","0","$164 - $702","Internacional, Bar, Parrilla, Pub","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Avenida Plan De Ayala 426 D Colonia Amatitlan, Cuernavaca 62410 México","administracion@brothersmx.com","+52 777 312 5280","Avenida Plan De Ayala 426 D","México","Cuernavaca 62410,","Colonia Amatitlan","-99.225922","18.925072",1183,1041,99,24,5,5
255,"McCarthy's Irish Pub","cerveza","","4","**N.º 3** de 9 Bar en San Pedro Cholula","-","https://www.tripadvisor.com.mx//Restaurant_Review-g609126-d9868488-Reviews-McCarthy_s_Irish_Pub-San_Pedro_Cholula_Central_Mexico_and_Gulf_Coast.html","35","35","40","0","$50 - $200","Bar","-","-","Sirve alcohol","Calle Primera 14 Oriente 1001 Local A, San Pedro Cholula 72810 México","sugerencias@mccarthyspub.com","+52 222 230 3742","Calle Primera 14 Oriente 1001","México","San Pedro Cholula 72810,","Local A","-98.288551","19.053011",28,9,9,6,0,2
256,"La Humadera","cerveza","Ver todos los horarios","4"," **N.º 55** de 200 Mexicana en Zapopan","-","https://www.tripadvisor.com.mx//Restaurant_Review-g1006488-d10666616-Reviews-La_Humadera-Zapopan_Guadalajara_Metropolitan_Area.html","0","0","0","0","$50 - $100","Parrilla, Mexicana, Churrasquería","Almuerzo, Cena","-","-","Nino Obrero 502, Zapopan 45040 México","","+52 33 3121 0620","Nino Obrero 502","México","Zapopan 45040,","","-103.410118","20.670975",18,10,4,2,1,1
257,"50 friends","cerveza","Ver todos los horarios","3.5"," **N.º 64** de 425 Italiana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d833421-Reviews-50_friends-Mexico_City_Central_Mexico_and_Gulf_Coast.html","35","35","35","40","$351 - $468","Italiana, Pizzería","-","Apto para vegetarianos","-","Emilio Castelar, Ciudad de México 110560 México","","","Emilio Castelar","México","Ciudad de México 110560,","","-99.19706","19.429939",231,39,68,51,14,12
258,"Texas Ribs Buenavista","cerveza","Ver todos los horarios","4"," **N.º 6** de 231 Estadounidense en Ciudad de México","Certificado de ExcelenciaGanador en 2018 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d3830387-Reviews-Texas_Ribs_Buenavista-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","40","40","0","-","Estadounidense","Cena, Almuerzo","-","Asiento, Acceso para silla de ruedas, Servicio de mesa, Comida para llevar,
Wi-Fi gratis","Eje Vial Eje 1 Norte (Mosqueta) 259 Centro Comercial Forum Buenavista ,
Esquina Insurgentes Col. Buenavista, Ciudad de México 06350 México","comentarios@texasribs.com.mx","+52 55 5541 0712","Eje Vial Eje 1 Norte (Mosqueta) 259","México","Ciudad de México 06350,","Centro Comercial Forum Buenavista , Esquina Insurgentes Col. Buenavista","-99.151413","19.450983",176,96,47,12,11,8
259,"La Tratto Santa Lucia","cerveza","13:00 - 3:00","4"," **N.º 9** de 86 Italiana en Mérida","Certificado de ExcelenciaGanador en 2017, 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150811-d4044711-Reviews-La_Tratto_Santa_Lucia-Merida_Yucatan_Peninsula.html","40","40","40","45","-","Italiana, Pizzería, Mediterránea","Almuerzo, Cena, Abierto hasta tarde","Apto para vegetarianos","-","Calle 60 at 55, Mérida 97000 México","info@latratto.mx","923-3787","Calle 60 at 55","México","Mérida 97000,","","-89.622437","20.971394",526,146,118,48,15,17
260,"El Cachanilla Tacos & Beer","cerveza","Ver todos los horarios","3.5"," **N.º 105** de 368 Mexicana en Santiago de Querétaro","-","https://www.tripadvisor.com.mx//Restaurant_Review-g479232-d8567472-Reviews-El_Cachanilla_Tacos_Beer-Queretaro_City_Central_Mexico_and_Gulf_Coast.html","35","40","35","0","$234 - $468","Mexicana, Bar, Mariscos","Cena, Abierto hasta tarde, Bebidas, Almuerzo","-","-","Avenida Universidad Ote. 29 Col. Centro, Santiago de Querétaro 76000 México","locoalan@hotmail.com","+52 442 445 1452","Avenida Universidad Ote. 29","México","Santiago de Querétaro 76000,","Col. Centro","-100.392113","20.598843",54,13,20,10,6,5
261,"Marisqueria La Red","cerveza","Ver todos los horarios","4"," **N.º 40** de 283 Mexicana en Oaxaca","Certificado de ExcelenciaGanador en 2016 - 2017","https://www.tripadvisor.com.mx//Restaurant_Review-g150801-d1965318-Reviews-Marisqueria_La_Red-Oaxaca_Southern_Mexico.html","40","40","40","35","-","Mariscos, Mexicana","Almuerzo, Cena","-","Asiento, Sillitas altas disponibles, Sirve alcohol, Servicio de mesa, Comida
para llevar","Bustamante No 200 Centro Morelos, Oaxaca 68080 México","","+52 951 514 8840","Bustamante No 200 Centro","México","Oaxaca 68080,","Morelos","-96.725266","17.059151",118,34,38,17,5,2
262,"Pinche Gringo BBQ","cerveza","Ver todos los horarios","4"," **N.º 19** de 231 Estadounidense en Ciudad de México","Certificado de ExcelenciaGanador en 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d12662596-Reviews-Pinche_Gringo_BBQ-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","40","40","0","$2,222 - $5,847","Estadounidense, Parrillada","Almuerzo, Cena, Bebidas","-","-","Lago Iseo 296 Col. Anahuac, Ciudad de México 11320 México","bbqlover@pgbbq.mx","+52 55 6389 1129","Lago Iseo 296","México","Ciudad de México 11320,","Col. Anahuac","-99.181656","19.440922",78,30,14,9,8,4
263,"La Cerveceria de Barrio","cerveza","Ver todos los horarios","3.5"," **N.º 554** de 2,111 Mexicana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d4699299-Reviews-La_Cerveceria_de_Barrio-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","35","35","45","-","Bar, Mexicana, Mariscos, Pub","Almuerzo, Cena, Abierto hasta tarde, Bebidas","-","Asiento, Televisión, Sirve alcohol, Bar completo, Servicio de mesa","Durango 192 Col. Roma Norte, Ciudad de México 06700 México","","+52 55 5533 7674","Durango 192 Col. Roma Norte","México","Ciudad de México 06700,","","-99.166908","19.419645",85,19,35,13,4,7
264,"La Sirena Gorda","cerveza","Ver todos los horarios","4"," **N.º 42** de 215 Mexicana en San Miguel de Allende","Certificado de ExcelenciaGanador en 2016 - 2017","https://www.tripadvisor.com.mx//Restaurant_Review-g151932-d3708479-Reviews-La_Sirena_Gorda-San_Miguel_de_Allende_Central_Mexico_and_Gulf_Coast.html","40","40","40","0","-","Mexicana, Latina, Mariscos","Almuerzo, Cena","Opciones sin gluten","-","Hernandez Macías 85, San Miguel de Allende 37729 México","","+52 415 152 5019","Hernandez Macías 85","México","San Miguel de Allende 37729,","","-100.745285","20.913914",256,87,65,19,10,12
265,"McCarthy's Iris Pub","cerveza","Ver todos los horarios","4"," **N.º 15** de 47 Comida rápida en Zapopan","-","https://www.tripadvisor.com.mx//Restaurant_Review-g1006488-d10594906-Reviews-McCarthy_s_Iris_Pub-Zapopan_Guadalajara_Metropolitan_Area.html","0","0","0","0","-","Comida rápida","Cena","-","Reservaciones, Servicio de mesa","Av Rafael Sanzio 150 Plaza Galerias, Zapopan México","","","Av Rafael Sanzio 150","México","Zapopan,","Plaza Galerias","-103.430939","20.677706",16,7,3,3,1,2
266,"La Bipo","cerveza","Ver todos los horarios","4"," **N.º 223** de 2,111 Mexicana en Ciudad de México","Certificado de ExcelenciaGanador en 2017","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d3509457-Reviews-La_Bipo-Mexico_City_Central_Mexico_and_Gulf_Coast.html","45","35","40","40","-","Mexicana, Latina, Bar, Pub","Almuerzo, Cena, Abierto hasta tarde, Bebidas","-","Reservaciones, Asiento, Sirve alcohol, Bar completo, Servicio de mesa","Coyoacan, Ciudad de México México","","54848230","Coyoacan","México","Ciudad de México,","","-99.162582","19.352228",140,46,59,18,5,5
267,"Con sabor a Café","cerveza","Ver todos los horarios","4"," **N.º 5** de 56 Mexicana en Irapuato","Certificado de ExcelenciaGanador en 2017 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g858499-d4172416-Reviews-Con_sabor_a_Cafe-Irapuato_Central_Mexico_and_Gulf_Coast.html","45","35","40","45","$10 - $200","Mexicana, Café, Contemporánea, Fusión","-","Apto para vegetarianos, Opciones veganas","-","Avenida Heroes de Nacozari # 1655 Plaza Delta, Irapuato 36557 México","","+52 462 135 6118","Avenida Heroes de Nacozari # 1655","México","Irapuato 36557,","Plaza Delta","-101.375992","20.68099",200,81,78,18,5,14
268,"Finca Ensamble","cerveza","Ver todos los horarios","4"," **N.º 6** de 14 Cervecería en Puebla","-","https://www.tripadvisor.com.mx//Restaurant_Review-g152773-d13419174-Reviews-Finca_Ensamble-Puebla_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$100 - $300","Cervecería, Pub, Bar de vinos, Pizzería","Almuerzo, Cena","-","-","Av 7 Ote 418, San Pablo Tecamac, Cholula De Rivadabia, Número de local,
intersección, plaza, Puebla 72750 México","rpublicas@ensamblerestaurant.com","522479637","Av 7 Ote 418, San Pablo Tecamac, Cholula De Rivadabia, Número de local,
intersección, plaza","México","Puebla 72750,","","-98.304115","19.057413",10,5,3,1,0,1
269,"Las Helodias","cerveza","11:00 - 2:00","4"," **N.º 28** de 102 Bar en Playa del Carmen","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150812-d2475311-Reviews-Las_Helodias-Playa_del_Carmen_Yucatan_Peninsula.html","40","40","45","45","$150 - $250","Bar","Abierto hasta tarde, Bebidas","-","-","Calle 28 Nte 1 Av. Nte, Playa del Carmen 77710 México","","+52 1 984 879 3854","Calle 28 Nte","México","Playa del Carmen 77710,","1 Av. Nte","-87.066963","20.632004",260,106,77,29,8,12
270,"El Arrancadero La Cerve","cerveza","","4","**N.º 26** de 119 Mexicana en Chihuahua","-","https://www.tripadvisor.com.mx//Restaurant_Review-g1028202-d10795183-Reviews-El_Arrancadero_La_Cerve-Chihuahua_Northern_Mexico.html","40","35","45","0","-","Mexicana, Comida rápida","-","-","Comida para llevar, Asiento, Acceso para silla de ruedas, Servicio de mesa","Avenida Carlos Pacheco 3331 Centro, Chihuahua 31350 México","","","Avenida Carlos Pacheco 3331","México","Chihuahua 31350,","Centro","-106.055969","28.64155",20,5,13,2,0,0
271,"Mc Cartys Irish Pub","cerveza","","2.5","**N.º 56** de 57 Pub en Cancún","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150807-d10490351-Reviews-Mc_Cartys_Irish_Pub-Cancun_Yucatan_Peninsula.html","30","25","30","0","-","Pub","-","-","Asiento, Sirve alcohol, Servicio de mesa","Avenida Bonampak Esq. Av. Sayil Plaza Solare Local 222, Cancún 77503 México","","","Avenida Bonampak Esq. Av. Sayil","México","Cancún 77503,","Plaza Solare Local 222","-86.820763","21.14938",40,6,1,11,7,10
272,"The Beer Box","cerveza","","3.5","**N.º 1** de 1 Cervecería en Piedras Negras","-","https://www.tripadvisor.com.mx//Restaurant_Review-g499439-d11956941-Reviews-The_Beer_Box-Piedras_Negras_Northern_Mexico.html","0","0","0","0","$85 - $200","Cervecería, Internacional, Británica, Pub, Gastropub","-","-","Asiento","Lib. Manuel Perez Treviño #2750, L-C14 Plaza Inova at the lower level, Piedras
Negras 26080 México","","+52 1 878 140 2099","Lib. Manuel Perez Treviño #2750, L-C14","México","Piedras Negras 26080,","Plaza Inova at the lower level","-100.558434","28.686302",11,4,4,1,0,2
273,"The Beer Box","cerveza","","4","**N.º 384** de 442 Restaurantes en León","-","https://www.tripadvisor.com.mx//Restaurant_Review-g154240-d8713343-Reviews-The_Beer_Box-Leon_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$50 - $150","-","-","-","-","Boulevard Mariano Escobedo 2305 Dentro Del Forestruck, León 37480 México","leonmoderno@thebeerbox.com.mx","+52 477 770 6193","Boulevard Mariano Escobedo 2305","México","León 37480,","Dentro Del Forestruck","-101.665367","21.109028",6,2,2,1,0,0
